text,label,label_name,split
মেরুদণ্ডের নিচের দিকে তীব্র ব্যথার কারণে সোজা হয়ে বসা বা শোয়া যাচ্ছে না।,2,Urgent,train
রোগী হঠাৎ করে হার্ট অ্যাটাক করে মেঝেতে লুটিয়ে পড়েছে এবং কোনো সাড়া দিচ্ছে না।,3,Emergency,train
চুলের গোড়ায় পুঁজসহ ইনফেকশন দেখা দিছে আর দুর্গন্ধ বের হচ্ছে।,2,Urgent,train
পায়ের নখ কাটার পর সেই জায়গাটা কালো হয়ে গেছে আর হাত দিলে একদম ঠান্ডা লাগে।,3,Emergency,train
"একটু সাহায্য দরকার, দুই দিন ধরে হালকা কাশি আছে, সাহায্য দরকার",1,Routine,train
আমার নাকের ভেতরে একটা পুরনো ক্ষত বা ঘা অবহেলা করার পর থেকে ওই জায়গায় মারাত্মক ইনফেকশন হয়ে গেছে। এখন সেখান থেকে দুর্গন্ধযুক্ত পুঁজ আর রক্ত বেরোচ্ছে এবং ব্যথার তীব্রতায় আমি মুখ হা করতে পারছি না।,2,Urgent,train
ঠোঁটের কোণে বড় ধরণের আলসার হয়ে গত কয়েকদিন ধরে খাওয়া প্রায় বন্ধ।,2,Urgent,train
বাচ্চার খিঁচুনি শুরু হইছে আর সে চোখ উল্টে গোঙানির মতো শব্দ করতাছে অনবরত।,3,Emergency,train
"এটা কি বিপজ্জনক, কি করা উচিত",0,General Query,train
বাচ্চাদের স্মৃতিশক্তি বাড়ানোর জন্য যোগব্যায়াম কি কোনো কাজে আসে জানাবেন কি?,0,General Query,train
বগলে কোনো পোকা কামড়ানোর পর সারা শরীর চুলকে ফুলে গিয়ে রোগী নীল হয়ে যাচ্ছে।,3,Emergency,train
"পায়ের চামড়া খসখসে হয়ে যাচ্ছে, কোনো জ্বালাপোড়া নেই।",1,Routine,train
"আজ হাঁটতে গিয়ে ভারসাম্য রাখতে পারছি না, ভয় লাগছে",3,Emergency,train
হঠাৎ শ্বাসকষ্টের সাথে গলার স্বর বসে গেছে এবং কথা বলতে পারছি না।,3,Emergency,train
একটানা দুই সপ্তাহ ধরে খুব মন খারাপ আর কোনো কিছুতেই আনন্দ পাচ্ছি না।,2,Urgent,train
পেটের গ্যাস্ট্রিকের ব্যথার সাথে কি হার্ট অ্যাটাকের ব্যথার কোনো মিল আছে? সাধারণ তথ্য চাই।,0,General Query,train
বাচ্চা খেলনার ধারালো প্লাস্টিক নাকে ঢুকিয়ে সম্পূর্ণ শ্বাসপথ বন্ধ করে ফেলেছে।,3,Emergency,train
"রাত থেকে এটা কি বড় সমস্যা, এটা নিয়ে চিন্তা হচ্ছে",0,General Query,train
পরীক্ষা দরকার কি. ভয় লাগছে,0,General Query,train
বাচ্চার খাবার হজম হচ্ছে না আর পায়খানায় আস্ত আস্ত খাবারের কণা দেখা যাচ্ছে।,1,Routine,train
হাত বা পায়ের স্নায়ু সরাসরি কেটে গেছে আর সেই জায়গাটা একদম নিথর হয়ে আছে।,3,Emergency,train
হঠাৎ করে রোগীর পুরো মুখমণ্ডল বেঁকে গেছে এবং সে অসংলগ্ন কথা বলছে।,3,Emergency,train
"একটু সাহায্য দরকার, গতকাল মাথা ভারী লাগছে, সাহায্য দরকার",2,Urgent,train
"একটু সাহায্য দরকার, বমি বমি ভাব হচ্ছে, সাহায্য দরকার",2,Urgent,train
খাবার খেতে ইচ্ছা করছে না. খুব চিন্তায় আছি,2,Urgent,train
কনুইয়ের হাড়ের ক্ষয় বা অস্টিওআর্থ্রাইটিস হলে কী ধরনের সাপোর্টিভ বেল্ট পরা ভালো?,0,General Query,train
"অনেক চিন্তায় আছি, হঠাৎ হালকা জ্বর আসে",1,Routine,train
হঠাৎ বুকের মাঝখানে তীব্র ব্যথা শুরু হয়েছে এবং,3,Emergency,train
অজ্ঞান হওয়ার পর হাত-পা শক্ত হয়ে কাঁপছে আর মুখ দিয়ে ফেনা।,3,Emergency,train
"গতকাল থেকে লক্ষ্য করছি, মাথা ঘুরে পড়ে গিয়েছিলাম",3,Emergency,train
